time,ID,Group,weight
276,6,2,5.22
296,6,2,5.298
324,6,2,5.273
354,6,2,5.298
380,6,2,5.371
445,6,2,5.394
478,6,2,5.438
508,6,2,5.493
536,6,2,5.521
569,6,2,5.497
599,6,2,5.541
627,6,2,5.561
655,6,2,5.58
668,6,2,5.58
723,6,2,5.635
751,6,2,5.561
781,6,2,5.652
122,7,2,4.745
150,7,2,4.868
166,7,2,5.043
179,7,2,5.106
219,7,2,5.22
247,7,2,5.298
276,7,2,5.347
296,7,2,5.347
324,7,2,5.416
354,7,2,5.501
380,7,2,5.561
445,7,2,5.58
478,7,2,5.687
508,7,2,5.72
536,7,2,5.737
569,7,2,5.72
599,7,2,5.737
627,7,2,5.753
655,7,2,5.768
668,7,2,5.784
723,7,2,5.844
751,7,2,5.844
781,7,2,5.9
122,8,2,4.745
150,8,2,4.905
166,8,2,5.011
179,8,2,5.106
219,8,2,5.165
247,8,2,5.273
276,8,2,5.371
296,8,2,5.416
324,8,2,5.416
354,8,2,5.521
380,8,2,5.541
445,8,2,5.635
478,8,2,5.687
508,8,2,5.704
536,8,2,5.784
569,8,2,5.768
599,8,2,5.768
627,8,2,5.814
655,8,2,5.829
668,8,2,5.858
723,8,2,5.94
751,8,2,5.94
781,8,2,6.004
122,9,3,4.942
150,9,3,5.106
166,9,3,5.136
179,9,3,5.193
219,9,3,5.298
247,9,3,5.347
276,9,3,5.46
296,9,3,5.521
324,9,3,5.561
354,9,3,5.58
380,9,3,5.635
445,9,3,5.704
478,9,3,5.784
508,9,3,5.823
536,9,3,5.858
569,9,3,5.9
599,9,3,5.94
627,9,3,5.991
655,9,3,6.016
668,9,3,6.064
723,9,3,6.052
751,9,3,6.016
781,9,3,5.979
122,10,3,4.605
150,10,3,4.745
166,10,3,4.868
179,10,3,4.905
219,10,3,4.977
247,10,3,5.22
276,10,3,5.165
296,10,3,5.22
324,10,3,5.22
354,10,3,5.247
380,10,3,5.298
445,10,3,5.416
478,10,3,5.501
508,10,3,5.521
536,10,3,5.58
569,10,3,5.58
599,10,3,5.635
627,10,3,5.67
655,10,3,5.72
668,10,3,5.753
723,10,3,5.799
751,10,3,5.829
781,10,3,5.858
122,11,3,4.7
150,11,3,4.868
166,11,3,4.905
179,11,3,4.977
219,11,3,5.011
247,11,3,5.106
276,11,3,5.165
296,11,3,5.22
324,11,3,5.22
354,11,3,5.22
380,11,3,5.273
445,11,3,5.384
478,11,3,5.438
508,11,3,5.438
536,11,3,5.501
569,11,3,5.501
599,11,3,5.541
627,11,3,5.598
655,11,3,5.58
668,11,3,5.635
723,11,3,5.687
751,11,3,5.72
781,11,3,5.704
122,12,3,4.828
150,12,3,5.011
166,12,3,5.075
179,12,3,5.165
219,12,3,5.247
247,12,3,5.323
276,12,3,5.394
296,12,3,5.46
324,12,3,5.46
354,12,3,5.501
380,12,3,5.541
445,12,3,5.609
478,12,3,5.687
508,12,3,5.704
536,12,3,5.72
569,12,3,5.704
599,12,3,5.704
627,12,3,5.72
655,12,3,5.737
668,12,3,5.768
723,12,3,5.858
751,12,3,5.9
781,12,3,5.94
122,13,3,4.7
150,13,3,4.828
166,13,3,4.905
179,13,3,5.011
219,13,3,5.075
247,13,3,5.165
276,13,3,5.247
296,13,3,5.298
324,13,3,5.298
354,13,3,5.323
380,13,3,5.416
445,13,3,5.505
478,13,3,5.561
508,13,3,5.58
536,13,3,5.561
569,13,3,5.635
599,13,3,5.687
627,13,3,5.72
655,13,3,5.72
668,13,3,5.737
723,13,3,5.784
751,13,3,5.814
781,13,3,5.799
122,14,3,4.828
150,14,3,5.011
166,14,3,5.075
179,14,3,5.136
219,14,3,5.22
247,14,3,5.273
276,14,3,5.347
296,14,3,5.416
324,14,3,5.438
354,14,3,5.416
380,14,3,5.521
445,14,3,5.628
478,14,3,5.67
508,14,3,5.687
536,14,3,5.72
569,14,3,5.72
599,14,3,5.799
627,14,3,5.858
655,14,3,5.872
668,14,3,5.914
723,14,3,5.94
751,14,3,5.991
781,14,3,6.016
122,15,3,4.828
150,15,3,4.942
166,15,3,5.011
179,15,3,5.075
219,15,3,5.075
247,15,3,5.22
276,15,3,5.273
296,15,3,5.298
324,15,3,5.323
354,15,3,5.298
380,15,3,5.394
445,15,3,5.489
478,15,3,5.541
508,15,3,5.58
536,15,3,5.617
569,15,3,5.67
599,15,3,5.704
627,15,3,5.753
655,15,3,5.768
668,15,3,5.814
723,15,3,5.872
751,15,3,5.927
781,15,3,5.927
122,16,3,4.745
150,16,3,4.905
166,16,3,4.977
179,16,3,5.075
219,16,3,5.193
247,16,3,5.22
276,16,3,5.298
296,16,3,5.323
324,16,3,5.394
354,16,3,5.394
380,16,3,5.438
445,16,3,5.583
478,16,3,5.617
508,16,3,5.652
536,16,3,5.687
569,16,3,5.72
599,16,3,5.753
627,16,3,5.768
655,16,3,5.814
668,16,3,5.844
723,16,3,5.886
751,16,3,5.886
781,16,3,5.886
122,17,3,4.7
150,17,3,4.868
166,17,3,5.011
179,17,3,5.043
219,17,3,5.106
247,17,3,5.165
276,17,3,5.247
296,17,3,5.298
324,17,3,5.347
354,17,3,5.371
380,17,3,5.438
445,17,3,5.455
478,17,3,5.617
508,17,3,5.635
536,17,3,5.704
569,17,3,5.737
599,17,3,5.784
627,17,3,5.768
655,17,3,5.814
668,17,3,5.844
723,17,3,5.886
751,17,3,5.94
781,17,3,5.927
122,18,4,4.605
150,18,4,4.787
166,18,4,4.828
179,18,4,4.942
219,18,4,5.011
247,18,4,5.136
276,18,4,5.22
296,18,4,5.247
324,18,4,5.273
354,18,4,5.247
380,18,4,5.347
445,18,4,5.366
478,18,4,5.416
508,18,4,5.46
536,18,4,5.541
569,18,4,5.481
599,18,4,5.501
627,18,4,5.635
655,18,4,5.652
668,18,4,5.598
723,18,4,5.635
751,18,4,5.635
781,18,4,5.598
122,19,4,4.828
150,19,4,4.977
166,19,4,5.011
179,19,4,5.136
219,19,4,5.273
247,19,4,5.298
276,19,4,5.371
296,19,4,5.46
324,19,4,5.416
354,19,4,5.416
380,19,4,5.438
445,19,4,5.557
478,19,4,5.617
508,19,4,5.67
536,19,4,5.72
569,19,4,5.72
599,19,4,5.799
627,19,4,5.858
655,19,4,5.886
668,19,4,5.914
723,19,4,5.979
751,19,4,6.004
781,19,4,6.028
122,20,4,4.7
150,20,4,4.905
166,20,4,4.942
179,20,4,5.011
219,20,4,5.043
247,20,4,5.136
276,20,4,5.193
296,20,4,5.193
324,20,4,5.247
354,20,4,5.22
380,20,4,5.323
445,20,4,5.338
478,20,4,5.371
508,20,4,5.394
536,20,4,5.438
569,20,4,5.416
599,20,4,5.501
627,20,4,5.561
655,20,4,5.541
668,20,4,5.58
723,20,4,5.652
751,20,4,5.67
781,20,4,5.704
122,21,4,4.745
150,21,4,4.905
166,21,4,4.977
179,21,4,5.043
219,21,4,5.136
247,21,4,5.273
276,21,4,5.347
296,21,4,5.394
324,21,4,5.416
354,21,4,5.394
380,21,4,5.521
445,21,4,5.617
478,21,4,5.617
508,21,4,5.617
536,21,4,5.67
569,21,4,5.635
599,21,4,5.652
627,21,4,5.687
655,21,4,5.652
668,21,4,5.617
723,21,4,5.687
751,21,4,5.768
781,21,4,5.814
122,22,4,4.787
150,22,4,4.942
166,22,4,4.977
179,22,4,5.106
219,22,4,5.165
247,22,4,5.247
276,22,4,5.323
296,22,4,5.416
324,22,4,5.394
354,22,4,5.371
380,22,4,5.438
445,22,4,5.521
478,22,4,5.521
508,22,4,5.561
536,22,4,5.635
569,22,4,5.617
599,22,4,5.687
627,22,4,5.72
655,22,4,5.737
668,22,4,5.737
723,22,4,5.768
751,22,4,5.768
781,22,4,5.704
122,23,4,4.605
150,23,4,4.828
166,23,4,4.828
179,23,4,4.977
219,23,4,5.043
247,23,4,5.165
276,23,4,5.22
296,23,4,5.273
324,23,4,5.247
354,23,4,5.22
380,23,4,5.298
445,23,4,5.375
478,23,4,5.371
508,23,4,5.416
536,23,4,5.501
569,23,4,5.501
599,23,4,5.521
627,23,4,5.561
655,23,4,5.617
668,23,4,5.635
723,23,4,5.72
751,23,4,5.737
781,23,4,5.768
122,24,4,4.7
150,24,4,4.905
166,24,4,5.011
179,24,4,5.075
219,24,4,5.106
247,24,4,5.22
276,24,4,5.22
296,24,4,5.298
324,24,4,5.323
354,24,4,5.347
380,24,4,5.416
445,24,4,5.472
478,24,4,5.501
508,24,4,5.541
536,24,4,5.598
569,24,4,5.598
599,24,4,5.598
627,24,4,5.652
655,24,4,5.67
668,24,4,5.704
723,24,4,5.737
751,24,4,5.768
781,24,4,5.784
122,25,4,4.745
150,25,4,4.942
166,25,4,5.011
179,25,4,5.075
219,25,4,5.106
247,25,4,5.247
276,25,4,5.273
296,25,4,5.323
324,25,4,5.347
354,25,4,5.371
380,25,4,5.416
445,25,4,5.481
478,25,4,5.501
508,25,4,5.541
536,25,4,5.598
569,25,4,5.598
599,25,4,5.635
627,25,4,5.687
655,25,4,5.704
668,25,4,5.72
723,25,4,5.829
751,25,4,5.844
781,25,4,5.9
122,26,4,4.654
150,26,4,4.828
166,26,4,4.828
179,26,4,4.977
219,26,4,4.977
247,26,4,5.043
276,26,4,5.136
296,26,4,5.165
324,26,4,5.165
354,26,4,5.165
380,26,4,5.193
445,26,4,5.204
478,26,4,5.22
508,26,4,5.273
536,26,4,5.371
569,26,4,5.347
599,26,4,5.46
627,26,4,5.58
655,26,4,5.635
668,26,4,5.67
723,26,4,5.753
751,26,4,5.799
781,26,4,5.844
122,27,4,4.828
150,27,4,4.977
166,27,4,5.011
179,27,4,5.106
219,27,4,5.165
247,27,4,5.22
276,27,4,5.273
296,27,4,5.323
324,27,4,5.371
354,27,4,5.394
380,27,4,5.46
445,27,4,5.576
478,27,4,5.652
508,27,4,5.617
536,27,4,5.687
569,27,4,5.67
599,27,4,5.72
627,27,4,5.784
655,27,4,5.784
668,27,4,5.784
723,27,4,5.829
751,27,4,5.814
781,27,4,5.844
